,word,count,label
0,코멘트,32,--
1,상장,12,1
2,되다,9,1
3,1조,8,1
4,청구,8,1
5,액면,7,0
6,분할,7,0
7,비싸다,7,-1
8,오다,7,0
9,없다,6,-1
10,가치,6,0
11,사다,6,0
12,가다,6,1
13,2조,5,1
14,실적,5,0
15,보다,5,0
16,거래,5,1
17,지금,5,0
18,하나요,4,1
19,너무,4,-1
20,매수,4,1
21,투자,3,1
22,반기,3,1
23,올리다,3,0
24,유상증자,3,1
25,수지,3,--
26,나오다,3,1
27,수수,3,--
28,공시,3,1
29,언제,3,1
30,신청,3,1
31,가요,3,1
32,컬리,3,1
33,빠르다,2,1
34,ipo,2,1
35,내년,2,1
36,이미,2,0
37,언급,2,1
38,제대로,2,0
39,교부,2,0
40,않다,2,0
41,그렇다,2,--
42,돈,2,0
43,무증,2,1
44,적다,2,0
45,문제,2,0
46,편지,2,0
47,하반기,2,0
48,센터,2,0
49,들어오다,2,1
50,안티,2,1
51,날아가다,2,1
52,3조,2,1
53,라니,2,0
54,나다,2,0
55,신고,2,0
56,괜찮다,2,0
57,매물,2,0
58,악의,2,0
59,어디서,2,1
60,확인,2,1
61,고객,2,0
62,희망,2,-1
63,싸다,2,1
64,에나,2,0
65,백만원,2,0
66,못,2,-1
67,무상증자,2,1
68,적자,2,0
69,오늘,2,1
70,예상,2,0
71,겁니다,2,1
72,70만원,2,0
73,시기,1,1
74,계획,1,1
75,주목,1,1
76,오히려,1,0
77,기관,1,1
78,아니다,1,0
79,제시,1,0
80,밸류에,1,1
81,재,1,0
82,시작,1,1
83,최대,1,0
84,금년,1,0
85,기사,1,1
86,비상,1,0
87,권유,1,0
88,위기,1,1
89,개,1,0
90,pre,1,1
91,수익,1,0
92,차라리,1,--
93,아마존,1,--
94,사라,1,--
95,흑자,1,1
96,3월,1,0
97,정기,1,0
98,주주총회,1,0
99,기대,1,1
100,22년,1,0
101,사람,1,0
102,축하,1,0
103,박스,1,--
104,미트,1,--
105,받다,1,0
106,상반기,1,0
107,기업가,1,0
108,조명,1,0
109,5조,1,0
110,달라,1,0
111,사기꾼,1,0
112,주의,1,0
113,필요,1,0
114,그나마,1,0
115,감사하다,1,1
116,감사,1,1
117,백도,1,--
118,혹시,1,1
119,사면,1,1
120,반토막,1,-1
121,호구,1,0
122,쿠팡,1,0
123,박살,1,-1
124,인가요,1,0
125,장주,1,--
126,회로,1,-1
127,까진,1,0
128,완료,1,0
129,가능,1,0
130,끄다,1,0
131,가려지다,1,0
132,욕,1,0
133,후기,1,1
134,참석,1,1
135,예정,1,1
136,따블,1,0
137,작년,1,0
138,층,1,0
139,두다,1,0
140,기다리다,1,0
141,더벨,1,--
142,보시,1,0
143,동감,1,0
144,공모,1,1
145,장외,1,0
146,업황,1,0
147,SI,1,1
148,러시아,1,0
149,분하다,1,--
150,우크라이나,1,0
151,직접,1,0
152,그냥,1,0
153,구르다,1,0
154,안좋다,1,-1
155,모이다,1,0
156,팬데믹,1,0
157,규모,1,0
158,일부,1,0
159,갈다,1,0
160,매출,1,0
161,3천억,1,0
162,이익,1,1
163,100억,1,0
164,남짓,1,0
165,항상,1,0
166,가장,1,0
167,저렴하다,1,1
168,노력,1,0
169,무조건,1,0
170,회,1,0
171,물량많,1,1
172,금액,1,--
173,성공하다,1,1
174,조용하다,1,0
175,언제나,1,0
176,먹다,1,0
177,스피드,1,0
178,일단,1,0
179,찍다,1,0
180,자다,1,--
181,판돈,1,0
182,100억원,1,1
183,크다,1,0
184,마음,1,0
185,표준,1,0
186,바꾸다,1,0
187,유통,1,0
188,망설이다,1,0
189,바이럴,1,0
190,막히다,1,0
191,아직,1,0
192,모르다,1,0
193,빨리,1,0
194,그래도,1,0
195,제일,1,0
196,뜸,1,0
197,사보다,1,--
198,매다,1,0
199,중소기업,1,0
200,여부,1,0
201,말고,1,0
202,올해,1,0
203,2400억,1,0
204,정도인,1,0
205,난후,1,0
206,평가,1,1
207,쏘다,1,--
208,아시아,1,0
209,넘기다,1,0
210,식수,1,--
211,시대,1,0
212,따위,1,0
213,답변,1,0
214,차례,1,0
215,안내,1,0
216,찬성,1,0
217,근데,1,0
218,현실,1,0
219,5천원,1,0
220,만에,1,0
221,무슨,1,0
222,미치다,1,0
223,우상,1,--
224,매매,1,0
225,밖에,1,0
226,걸리다,1,0
227,심보,1,0
228,왜케,1,-1
229,떨어지다,1,-1
230,주다,1,0
231,쓱,1,0
232,자공시,1,--
233,우선주,1,0
234,경제,1,0
235,ib,1,1
236,5천,1,1
237,계속,1,0
238,연락,1,0
239,글로벌,1,1
240,사모,1,1
241,1천억,1,1
242,들어온답니다,1,1
243,더,1,--
244,왜,1,0
245,물량,1,0
246,부담,1,0
247,줄다,1,0
248,앞,1,0
249,좋아지다,1,0
250,같다,1,0
251,상,1,--
252,장하다,1,--
253,최소,1,0
254,비결,1,0
