,word,count
0,배송,248
1,새벽,177
2,마켓,129
3,물류,121
4,오아시스,119
5,이다,112
6,것,102
7,센터,100
8,되다,98
9,시장,96
10,에서,93
11,적,85
12,상장,84
13,하고,76
14,수,71
15,인,67
16,컬리,67
17,SSG,66
18,기업,65
19,업체,60
20,노동자,59
21,건,56
22,생협,51
23,식품,50
24,서비스,50
25,다,50
26,말,49
27,운영,49
28,대표,49
29,온라인,48
30,사업,47
31,고,46
32,노동,45
33,닷,43
34,컴,43
35,돼다,43
36,까지,41
37,마트,40
38,증권,40
39,않다,39
40,투자,38
41,그룹,38
42,GS,37
43,위,36
44,경쟁,34
45,대형,34
46,일,33
47,관계자,33
48,규모,32
49,사,32
50,전,32
51,많다,31
52,커머스,31
53,상품,31
54,업계,31
55,최대,31
56,리테일,30
57,매장,29
58,안전,29
59,코로나,29
60,1,29
61,지난해,29
62,쿠팡,28
63,없다,28
64,IPO,28
65,회장,27
66,올해,27
67,신선,27
68,따르다,27
69,전국,27
70,받다,27
71,산재,26
72,플랫폼,26
73,오프라인,26
74,불량,26
75,위해,25
76,곳,25
77,아니다,25
78,대,25
79,성,25
80,대한,24
81,내년,24
82,닷컴,24
83,네이버,24
84,이라고,24
85,지난,24
86,3,24
87,우리,24
88,중,24
89,주,24
90,19,24
91,요,23
92,가다,23
93,보다,23
94,화재,23
95,국내,23
96,나서다,23
97,주문,22
98,개선,22
99,롯데,22
100,흑자,22
101,BGF,21
102,소비자,21
103,근로,21
104,부터,21
105,업무,21
106,접다,21
107,규제,20
108,늘리다,20
109,문,20
110,통해,20
111,산업,20
112,제,20
113,2020년,20
114,기준,20
115,2,20
116,상,20
117,회사,19
118,지다,19
119,에서는,19
120,같다,19
121,뛰어들다,19
122,장,19
123,유통,18
124,때문,18
125,활용,18
126,경우,18
127,계약,18
128,몰다,18
129,배,18
130,오다,18
131,시간,18
132,e,18
133,고용,17
134,설비,17
135,기록,17
136,이커머스,17
137,늘다,17
138,확대,17
139,더,17
140,시,17
141,추진,17
142,및,17
143,성장하다,17
144,재,16
145,성장,16
146,기업가,16
147,에는,16
148,확장,16
149,구조,16
150,못,16
151,점,16
152,보고,16
153,어렵다,16
154,밝히다,16
155,데,16
156,가장,16
157,직원,15
158,카카오,15
159,유니콘,15
160,온,15
161,계,15
162,전망,15
163,들다,15
164,홈쇼핑,15
165,솔루션,15
166,현,15
167,모두,15
168,가능하다,15
169,설명,15
170,대부분,15
171,군,14
172,비,14
173,시작,14
174,나오다,14
175,없이,14
176,신청,14
177,이마트,14
178,사고,14
179,내다,14
180,즉시,14
181,공,14
182,집중,14
183,간사,14
184,한국,14
185,화,14
186,확보,14
187,율,14
188,장보기,14
189,5,13
190,목표,13
191,내,13
192,서,13
193,근무,13
194,수익,13
195,제공,13
196,고객,13
197,거래소,13
198,다음,13
199,규정,13
200,강도,13
201,진출,13
202,최근,13
203,퀵,13
204,위험,13
205,안,13
206,이나,13
207,취임식,13
208,정부,13
209,크다,13
210,명,12
211,점포,12
212,판단,12
213,비용,12
214,17일,12
215,구축,12
216,높다,12
217,서다,12
218,적자,12
219,노동시간,12
220,후,12
221,신세계,12
222,평가,12
223,연구원,12
224,인프라,12
225,하,12
226,씨,12
227,유일하다,12
228,이상,12
229,예정,12
230,치르다,12
231,유통업,12
232,법,11
233,자본,11
234,두다,11
235,강화하다,11
236,참석,11
237,개,11
238,관리,11
239,나,11
240,증가,11
241,매출,11
242,일부,11
243,자금,11
244,넘다,11
245,판매,11
246,통합,11
247,인수,11
248,쇼핑,11
249,준비,11
250,감독,11
251,앱,11
252,역대,11
253,선정,11
254,조치,11
255,잇따르다,11
256,때,11
257,점검,11
258,배포,11
259,만들다,11
260,하지만,11
261,유통업체,11
262,인권,11
263,이르다,11
264,새롭다,10
265,LG,10
266,배달,10
267,장시간,10
268,에게,10
269,간판,10
270,서울,10
271,노조,10
272,CJ,10
273,협업,10
274,사용,10
275,류,10
276,영향,10
277,그동안,10
278,수도권,10
279,수요,10
280,공개,10
281,현재,10
282,총,10
283,당시,10
284,11,10
285,신,10
286,전환,10
287,2021년,10
288,종료,10
289,거점,10
290,관련,10
291,제한,10
292,상황,10
293,만,10
294,출혈,10
295,상반기,10
296,가량,10
297,프레,10
298,지역,10
299,이후,10
300,창고,10
301,의원,10
302,이라는,9
303,신규,9
304,경,9
305,커지다,9
306,예상,9
307,더하다,9
308,1조원,9
309,해주다,9
310,간,9
311,하반기,9
312,교보,9
313,금지,9
314,별도,9
315,연장,9
316,문제,9
317,라며,9
318,제도,9
319,기간,9
320,형,9
321,사람,9
322,지,9
323,발생,9
324,영업,9
325,주간,9
326,날,9
327,필요하다,9
328,기업인,9
329,망,9
330,뿐,9
331,조,9
332,결정,9
333,회원,9
334,상태,9
335,형태,9
336,코스피,9
337,앞두다,8
338,스토어,8
339,수당,8
340,소화,8
341,이고,8
342,적발,8
343,비다,8
344,기,8
345,대책,8
346,상대,8
347,휴게,8
348,특히,8
349,직,8
350,현장,8
351,취업규칙,8
352,고용노동부,8
353,분,8
354,추가,8
355,인력,8
356,함께,8
357,다른,8
358,호정,8
359,기존,8
360,경기,8
361,생각,8
362,예비,8
363,심사,8
364,5월,8
365,"

",8
366,GoodNews,8
367,중단,8
368,차별,8
369,계획,8
370,보이다,8
371,손실,8
372,주장,8
373,증시,8
374,기자,8
375,시설,8
376,"
					
					",8
377,paper,8
378,전략,8
379,작업,8
380,국민일보,8
381,wwwkmibcokr,8
382,무단,8
383,수집,8
384,"
					









",8
385,회,8
386,활동,8
387,사회,8
388,수준,8
389,속도,8
390,대통령,8
391,대기업,8
392,면,8
393,본격,8
394,기요,8
395,들어가다,8
396,엔,8
397,맞추다,8
398,1조,8
399,위원회,8
400,대규모,8
401,치다,8
402,키우다,8
403,위탁,8
404,2조,8
405,해오다,8
406,쓱,7
407,단체,7
408,자회사,7
409,밖에,7
410,물,7
411,여전하다,7
412,점유,7
